문제,답변,날짜,Person,범위
이벤트 단계,"• 캡처 : 이벤트 핸들러가 트리 최상단 요소에서 시작해서 실제 이벤트가 발생한 타깃 요소까지 내려가는 것
• 타깃 : 이벤트 핸들러가 타깃 노드에 도달하는 단계, 이 때 이벤트가 호출된다.
• 버블링 : 이벤트가발생한 요소에서 부터 시작해서 최상위 요소까지 올라간다.",2024년 1월 15일,"JIN ",10.1 리액트 17 버전 살펴보기 - 10.2 리액트 18 버전 살펴보기 ( p. 657 ) - ( p. 713)
"이벤트 위임에 대한 리액트 16, 17 의 차이","• 16버전에서는 이벤트 위임이 document에서 수행
• 17버전에서는 리액트 컴포넌트 최상단 트리
⇒ 변경한 이유 : 점진적인 업그레이드를 지원하기 위해, 다른 버전 코드와 혼재되어있을 때 혼란을 줄이기 위해서",2024년 1월 15일,"JIN ",10.1 리액트 17 버전 살펴보기 - 10.2 리액트 18 버전 살펴보기 ( p. 657 ) - ( p. 713)
"컴포넌트의 undefined 반환에 대한 처리 차이 16, 17, 18","• 16 : 오류가 발생한다. forwardRed나 memo에서 undefined를 반환하는 경우는 에러 발생하지 않았다.
• 17 :  모든 경우에 에러 발생
• 18 : 에러가 나지 않는다. null을 반환한 것과 같다.",2024년 1월 15일,"JIN ",10.1 리액트 17 버전 살펴보기 - 10.2 리액트 18 버전 살펴보기 ( p. 657 ) - ( p. 713)
18버전의 가장 큰 변경점,"• 동시성 지원
• 과거 리액트 모든 렌더링을 동기적으로 작동하여 느린 렌더링 작업이 있을 경우 서비스 전체에 영향을 미쳤지만 동시성을 지원하는 기능을 사용하면 느린 렌더링 과정에서 로딩 화면을 보여주거나 진행 중인 렌더링을 버리고 새로운 상태값으로 재렌더링 하는 등 성능 향상 뿐만 아니라 사용자에게 좀 더 자연스러운 서비스 경험",2024년 1월 15일,"JIN ",10.1 리액트 17 버전 살펴보기 - 10.2 리액트 18 버전 살펴보기 ( p. 657 ) - ( p. 713)
nextjs에서 페이지의 기본적인 레이아웃을 구성하는 요소,layout.js,2024년 1월 16일,지찬 주,11.1 app 디렉터리의 등장 - 11.8 정리 ( p. 715 ) - ( p.774 )
클라이언트 컴포넌트를 명시적으로 선언하는 방법,• 'use client',2024년 1월 16일,지찬 주,11.1 app 디렉터리의 등장 - 11.8 정리 ( p. 715 ) - ( p.774 )
• 데이터의 유효한 시간을 정해두고 이 시간이 지나면 다시 데이터를 불러와서 페이지를 렌더링하는것이 가능한 변수이름,revalidate,2024년 1월 16일,지찬 주,11.1 app 디렉터리의 등장 - 11.8 정리 ( p. 715 ) - ( p.774 )
서버컴포넌트의 작동방식의 특별한점,"• 서버에서 클라이언트로 정보를 보낼 때 스트리밍 형태로 보냄으로써 클라이언트가 줄 단위로 JSON을 읽고 컴포넌트를 렌더링할 수 있어 브라우저에서는 되도록 빨리 사용자에게 결과물을 보여줄 수 있다
• 컴포넌트들이 하나의 번들러 작업에포함돼 있지 않고 각 컴포넌트 별로 번들링이 별개로 돼 있어 필요에 따라 컴포넌트를 지연해서 받거나 따로 받는 등의 작업이 가능하다.
• SSR과는 다르게 결과물이 HTML이 아닌 JSON형태로 보내진 것 또한 주목해 볼 만하다. 클라이언트의 최종 목표는 리액트 컴포넌트 트리를 서버 컴포넌트와 클라이언트 컴포넌트의 두 가지로 조화롭게 구성하는 것으로, 이는 단순히 HTML을 그리는 작업 이상의 일을 필요로 한다. 따라서 HTML 대신 단순한 리액트 컴포넌트 구조를 JSON으로 받아서 리액트 컴포넌트 트리의 구성을 최대한 빠르게 할 수 있도록 도와준다.",2024년 1월 16일,지찬 주,11.1 app 디렉터리의 등장 - 11.8 정리 ( p. 715 ) - ( p.774 )
• 서버컴포넌트에서 prop를 넘길때 반드시 직렬화가능한 데이터를 넘겨야 한다,,2024년 1월 16일,지찬 주,11.1 app 디렉터리의 등장 - 11.8 정리 ( p. 715 ) - ( p.774 )
"서버 컴포넌트의 제약사항, 클라이언트 컴포넌트의 제약사항, 공용 컴포넌트의 제약사항 과 차이점","• 서버컴포넌트 :
    1. 요청이 오면 그 순간 서버에서 딱 한 번 실행될 뿐이므로 상태를 가질 수 없다. 따라서 리액트 훅을 사용할 수 없다.
    2. 사용자 정의훅 또한 사용불가 다만 effect나 state에 의존하지 않고 서버에서 제공할 수 있는 기능만 사용하는 훅이라면 충분히 사용가능하다.
    3. 서버에서만 실행되기 때문에 DOM API나 window, document등에 접근할 수 없다.
    4. 데이터베이스, 내부 서비스, 파일 시스템 등 서버에만 있는 데이터를 aync/await으로 접근할 수 있다.
• 클라이언트 컴포넌트
    1. 브라우저 환경에서만 실행되므로 서버컴포넌트를 불러오거나 서버 전용 훅이나 유틸리티를 불러올 수 없다.
    2. 서버 컴포넌트가 클라이언트 컴포넌트를 렌더링하는데, 그 클라이언트 컴포넌트가 자식으로 서버 컴포넌트를 갖는 구조는 가능하다, 그 이유는 클라이언트 입장에서 봤을 때 서버 컴포넌트는 이미 서버에서 만들어진 트리를 가지고 있을 것이고, 클라이언트 컴포넌트는 이미 서버에서 만들어진 그 트리를 삽입해서 보여주기만 하기 때문이다.
• 공용 컴포넌트
    1. 서버컴포넌트와 클라이언트 컴포넌트의 모든 제약을 받는 컴포넌트",2024년 1월 16일,지찬 주,11.1 app 디렉터리의 등장 - 11.8 정리 ( p. 715 ) - ( p.774 )
"구글은 사용자 경험을 크게 4가지로 분류해 정의하는데, 이를 RAIL이라고 한다. RAIL이란?","• Response: 사용자의 입력에 대한 반응 속도. 50ms 미만으로 이벤트를 처리할 것
• Animation: 애니메이션의 각 프레임을 10ms 이하로 생성할 것
• Idle: 유휴 시간을 극대화해 페이지가 50ms 이내에 사용자 입력에 응답하도록 할 것
• Load: 5초 이내에 콘텐츠를 전달하고 인터랙션을 준비할 것",2024년 1월 18일,지찬 주,12.1 웹사이트와 성능 - 12.6 정리 ( p. 775 ) - ( p.812 )
"최초 콘텐츠풀 페인트(First Contentfull Paint, FCP)란?",• 페이지가 로드되기 시작한 시점부터 페이지 콘텐츠의 일부가 화면에 렌더링될 때까지의 시간을 측정한다. 조금 더 쉽게 설명하자면 웹사이트에 접속한 순간부터 페이지에 뭐라도 뜨기 시작한 시점까지의 시간을 의미한다.,2024년 1월 18일,지찬 주,13. 웹페이지의 성능을 측정하는 다양한 방법 ( p. 813 - p. 873 )
크로스사이트 스크립팅이란,• 웹사이트 개발자가 아닌 제3자가 웹사이트에 악성 스크립트를 삽입해 실행할 수 있는 취약점을 의미한다.,2024년 1월 19일,지찬 주,14. 웹사이트 보안을 위한 리액트와 웹페이지 보안 이슈 ( p. 875 ) - 15. 마치며 ( p. 916 )
리액트에서 XSS 문제를 피하는 방법,"• 제 3자가 삽입할 수 있는 HTML을 안전한 HTML 코드로 한 번 치환하는 것, 이러한 과정을 새니타이즈, 또는 이스케이프라고한다.",2024년 1월 19일,지찬 주,14. 웹사이트 보안을 위한 리액트와 웹페이지 보안 이슈 ( p. 875 ) - 15. 마치며 ( p. 916 )
리액트 프로젝트를 시작할때 고려해야할 사항,"• 리액트 버전을 최소 16.8.6에서 최대 17.0.2로 올려두자 : 대규모 업데이트가 벌어진 버전
• 인터넷 익스플로러 11 지원을 목표한다면 각별히 더 주의를 기한다.
• 서버 사이드 렌더링 애플리케이션을 우선적으로 고려한다 : 사용자 기기가 성능이 천차만별이기때문
• 상태 관리 라이브러리는 꼭 필요할 때만 사용한다. :
• 리액트 의존성 라이브러리 설치를 조심한다. : 버전확인 필수",2024년 1월 19일,지찬 주,14. 웹사이트 보안을 위한 리액트와 웹페이지 보안 이슈 ( p. 875 ) - 15. 마치며 ( p. 916 )
